"id","time","earnings","age","agesq","school","ethblack","urban","regne","regnc","regw","regs","asvabc"
2,0,8.70185852050781,21,441,9,0,1,1,0,0,0,35.5
3,0,7.55938291549683,18,324,10,0,1,1,0,0,0,48.25
17,0,11.1391429901123,23,529,13,0,1,1,0,0,0,61.25
18,0,7.92116737365723,22,484,12,0,1,0,0,1,0,63
24,0,8.09253883361816,19,361,12,0,1,1,0,0,0,56.25
27,0,6.1884126663208,19,361,13,0,1,0,0,1,0,61.75
30,0,7.99733114242554,21,441,12,0,1,1,0,0,0,34.25
34,0,11.4247608184814,21,441,13,0,0,1,0,0,0,38.75
37,0,8.32103252410889,21,441,12,0,1,1,0,0,0,55
45,0,13.0623083114624,20,400,12,0,1,1,0,0,0,50.5
47,0,15.7471303939819,21,441,12,0,0,1,0,0,0,59.25
48,0,15.6900024414062,21,441,12,0,0,1,0,0,0,45.25
49,0,10.4536533355713,21,441,14,0,1,1,0,0,0,58.25
50,0,7.17855787277222,21,441,12,0,1,1,0,0,0,58.75
52,0,13.4621772766113,21,441,14,0,0,1,0,0,0,59.5
58,0,9.90145969390869,23,529,16,0,1,1,0,0,0,61.25
59,0,9.99666404724121,21,441,12,0,1,1,0,0,0,61.5
78,0,11.9959964752197,22,484,16,0,1,1,0,0,0,59.5
95,0,6.416907787323,19,361,12,0,1,1,0,0,0,45.5
98,0,7.7117133140564,22,484,13,0,1,1,0,0,0,56.75
104,0,11.3295516967773,21,441,12,0,1,1,0,0,0,49
105,0,11.3295516967773,21,441,12,0,1,1,0,0,0,61
110,0,12.9861440658569,22,484,12,0,1,1,0,0,0,56
111,0,6.416907787323,20,400,12,0,1,1,0,0,0,48.25
114,0,17.4417991638184,23,529,12,0,1,1,0,0,0,60.5
118,0,5.71238040924072,18,324,9,0,1,1,0,0,0,45.5
125,0,8.09253883361816,23,529,13,0,1,1,0,0,0,45
126,0,6.66444206237793,21,441,14,0,1,1,0,0,0,58
128,0,9.92050075531006,21,441,12,0,1,1,0,0,0,59
134,0,9.80625152587891,18,324,11,0,1,1,0,0,0,50
136,0,5.71238040924072,22,484,12,0,1,1,0,0,0,37.75
150,0,6.35978269577026,20,400,12,0,1,1,0,0,0,49
164,0,6.66444206237793,20,400,12,0,1,1,0,0,0,41.5
178,0,9.52063369750977,21,441,12,0,1,1,0,0,0,60.5
179,0,8.32103252410889,21,441,12,0,1,1,0,0,0,48.25
183,0,10.3774929046631,21,441,12,0,1,1,0,0,0,52
184,0,6.32169914245605,19,361,12,0,1,1,0,0,0,54
200,0,9.52063369750977,21,441,12,0,1,1,0,0,0,44.5
209,0,10.5679044723511,19,361,11,0,1,1,0,0,0,55.25
212,0,9.52063369750977,19,361,12,0,1,1,0,0,0,54
215,0,8.85418796539307,19,361,12,0,1,1,0,0,0,54
218,0,15.099723815918,22,484,16,0,1,1,0,0,0,61
231,0,9.99666404724121,22,484,12,0,1,1,0,0,0,46.25
232,0,5.71238040924072,18,324,12,0,1,1,0,0,0,50.5
242,0,6.87389659881592,21,441,12,0,1,0,0,1,0,44
243,0,15.8613758087158,21,441,12,0,1,1,0,0,0,57.25
259,0,15.4234266281128,21,441,12,0,1,1,0,0,0,57.5
264,0,19.0412673950195,18,324,12,0,1,0,0,0,1,59.5
267,0,7.61650705337524,21,441,12,0,1,1,0,0,0,40.75
272,0,7.08335065841675,23,529,16,0,1,1,0,0,0,61
274,0,10.8916063308716,19,361,12,0,1,0,0,0,1,61.5
277,0,6.16937065124512,20,400,12,0,1,1,0,0,0,44.5
293,0,10.1299514770508,20,400,12,0,1,1,0,0,0,62.25
294,0,5.94087600708008,18,324,12,0,0,1,0,0,0,50.5
295,0,4.34140825271606,16,256,10,0,1,1,0,0,0,43
307,0,7.14047527313232,22,484,12,0,1,1,0,0,0,51.75
308,0,8.18774318695068,18,324,12,0,1,1,0,0,0,36
309,0,13.3288841247559,21,441,12,0,0,0,1,0,0,48
310,0,6.09320545196533,19,361,12,0,1,1,0,0,0,43.25
320,0,12.1673717498779,20,400,12,0,1,1,0,0,0,56.5
323,0,13.3288841247559,20,400,12,0,1,1,0,0,0,55
327,0,10.8725633621216,21,441,14,0,1,1,0,0,0,61.25
341,0,8.32103252410889,20,400,14,0,1,1,0,0,0,50.5
349,0,7.61650705337524,21,441,13,0,1,1,0,0,0,52.25
351,0,8.09253883361816,20,400,12,0,1,1,0,0,0,41.75
352,0,6.56923723220825,18,324,12,0,1,1,0,0,0,52.75
353,0,13.8810844421387,20,400,12,0,1,1,0,0,0,51
354,0,9.42542743682861,23,529,12,0,1,1,0,0,0,56.75
371,0,6.66444206237793,20,400,14,0,1,1,0,0,0,53.75
374,0,6.1884126663208,18,324,12,0,1,1,0,0,0,39.25
375,0,10.9868125915527,19,361,12,0,1,1,0,0,0,38.25
377,0,6.37882280349731,21,441,12,1,1,1,0,0,0,46
383,0,9.59679698944092,19,361,12,1,1,1,0,0,0,45.5
385,0,6.1884126663208,19,361,12,1,1,1,0,0,0,45.75
392,0,13.8049173355103,20,400,12,0,1,1,0,0,0,62.75
398,0,12.2244911193848,21,441,10,1,1,1,0,0,0,43.25
399,0,8.47336483001709,22,484,14,0,1,1,0,0,0,58.25
402,0,8.0734977722168,22,484,12,0,1,1,0,0,0,43.5
403,0,6.66444206237793,23,529,7,0,1,1,0,0,0,33.5
405,0,7.14047527313232,20,400,12,0,1,1,0,0,0,42.25
408,0,10.1489963531494,19,361,12,0,1,1,0,0,0,62.75
416,0,15.8613758087158,22,484,14,0,1,1,0,0,0,53.5
417,0,9.52063369750977,19,361,12,0,1,1,0,0,0,52
424,0,14.2809505462646,22,484,12,0,1,1,0,0,0,61
428,0,8.14966106414795,21,441,14,0,1,1,0,0,0,58.25
432,0,7.00718641281128,21,441,12,0,1,1,0,0,0,32.5
433,0,6.37882280349731,19,361,12,0,1,1,0,0,0,32.5
435,0,8.09253883361816,18,324,12,0,1,1,0,0,0,40.75
437,0,8.56857013702393,22,484,12,0,1,1,0,0,0,54.5
440,0,7.82596111297607,18,324,12,0,1,1,0,0,0,50.75
449,0,8.56857013702393,19,361,12,0,1,1,0,0,0,53.25
454,0,6.66444206237793,18,324,12,0,1,1,0,0,0,55.75
460,0,6.51211309432983,18,324,12,0,1,1,0,0,0,43.75
464,0,4.45565700531006,20,400,14,0,1,1,0,0,0,58.75
492,0,8.13062191009521,18,324,12,0,1,0,1,0,0,51.25
495,0,7.04526996612549,19,361,12,0,1,0,1,0,0,56.5
502,0,9.13980865478516,19,361,12,0,1,0,1,0,0,58
503,0,6.1884126663208,19,361,12,0,1,0,1,0,0,49.5
505,0,8.68281650543213,20,400,12,0,1,0,1,0,0,44
512,0,12.2625732421875,20,400,13,0,1,0,1,0,0,50.5
526,0,13.2717618942261,20,400,12,0,1,0,1,0,0,38.75
527,0,7.7117133140564,22,484,13,0,1,0,1,0,0,56.75
531,0,13.7097120285034,22,484,9,0,1,0,1,0,0,34.75
538,0,14.109580039978,21,441,11,0,1,0,1,0,0,47
543,0,8.58761119842529,20,400,12,0,1,0,1,0,0,41.5
545,0,13.1765575408936,20,400,12,0,1,0,1,0,0,53.5
559,0,8.56857013702393,19,361,13,0,1,0,1,0,0,61.75
560,0,13.3288841247559,20,400,14,0,1,0,0,1,0,52.5
569,0,9.52063369750977,19,361,12,0,1,0,1,0,0,62
577,0,13.3288841247559,21,441,15,0,1,0,1,0,0,62
578,0,19.2316780090332,19,361,13,0,1,0,1,0,0,63.75
581,0,10.4726982116699,21,441,12,0,1,0,1,0,0,62.5
582,0,8.09253883361816,21,441,12,0,1,0,1,0,0,60.5
583,0,9.71104621887207,22,484,12,0,1,0,1,0,0,59.25
609,0,6.07416391372681,18,324,12,0,1,0,1,0,0,47.5
615,0,7.14047527313232,19,361,10,0,1,0,1,0,0,36.75
616,0,7.23568105697632,17,289,9,0,1,0,1,0,0,33.5
620,0,12.0912055969238,22,484,11,1,1,0,1,0,0,31
626,0,5.71238040924072,22,484,12,0,1,0,1,0,0,46.5
627,0,9.65392017364502,22,484,12,0,1,0,1,0,0,61.5
631,0,11.367636680603,21,441,11,0,1,0,1,0,0,43.25
633,0,10.8154411315918,22,484,12,0,1,0,1,0,0,57.5
634,0,7.67363119125366,20,400,12,0,1,0,1,0,0,50
638,0,6.66444206237793,18,324,12,0,0,0,1,0,0,51
647,0,9.19692993164062,19,361,12,0,1,0,1,0,0,49.75
677,0,6.416907787323,18,324,12,1,1,0,1,0,0,49.5
678,0,10.2251577377319,18,324,12,1,1,0,1,0,0,39
679,0,7.61650705337524,22,484,12,1,1,0,1,0,0,37.25
680,0,7.61650705337524,20,400,12,1,1,0,1,0,0,39.75
684,0,18.0892028808594,20,400,12,0,1,0,1,0,0,44.25
697,0,19.9933280944824,23,529,12,0,1,0,1,0,0,43
699,0,7.61650705337524,22,484,15,0,1,0,1,0,0,46.75
700,0,5.90279245376587,17,289,10,0,1,0,1,0,0,42
705,0,7.78787851333618,21,441,12,0,1,0,1,0,0,57.75
711,0,6.1884126663208,18,324,12,0,1,0,1,0,0,46.25
712,0,11.4247608184814,20,400,12,0,1,0,1,0,0,61.5
