"id","gender","grade","important","better","preferredhand","siblings","youngestchild","oftenexpelled","correct","treatment"
1,0,6,"sport","Math","Right",1,0,0,NA,"Nothing"
2,0,6,"sport","Math","Right",1,0,0,0,"Nothing"
3,0,2,"school","Language","Right",1,0,0,1,"Nothing"
4,0,2,"","Language","Left",1,0,0,0,"Nothing"
5,0,2,"school","Language","Right",1,1,0,0,"Nothing"
6,0,2,"school","Language","Right",1,0,0,1,"Nothing"
7,1,4,"school","Language","Right",1,1,0,1,"Nothing"
8,1,4,"school","Language","Right",1,1,0,0,"Nothing"
9,0,4,"school","Language","Right",1,1,0,1,"Nothing"
10,0,4,"school","Math","Right",1,1,0,0,"Nothing"
11,0,4,"sport","Language","Right",1,0,0,0,"Nothing"
12,0,4,"school","Language","Right",1,1,0,1,"Nothing"
13,0,3,"school","Math","Right",1,0,1,1,"Candybar"
14,1,4,"school","Language","Right",1,0,0,0,"Nothing"
15,0,3,"school","Math","Right",1,0,1,1,"Fruit"
16,0,3,"school","Math","Right",1,0,0,0,"Fruit"
17,0,3,"school","Math","Right",1,0,0,1,"Fruit"
18,0,4,"school","Math","Right",1,0,0,0,"Nothing"
19,0,4,"school","Math","Left",1,0,0,1,"Nothing"
20,0,3,"school","Language","Right",1,0,0,1,"Nothing"
21,0,2,"school","Language","Right",1,0,0,0,"Nothing"
22,0,2,"school","Language","Right",1,1,1,0,"Nothing"
23,0,2,"school","Math","Right",1,0,0,0,"Nothing"
24,0,2,"school","Math","Right",1,0,0,1,"Nothing"
25,0,2,"school","Math","Right",1,1,1,0,"Nothing"
26,0,2,"school","Math","Right",1,1,1,1,"Nothing"
27,0,2,"school","Math","Right",1,1,1,0,"Nothing"
28,1,3,"school","Language","Right",1,0,0,1,"Candybar"
29,0,3,"school","Language","Right",1,1,1,0,"Candybar"
30,0,4,"sport","Language","Right",1,0,0,1,"Candybar"
31,1,3,"school","Language","Right",1,1,0,0,"Candybar"
32,0,5,"school","Language","Right",1,0,0,0,"Candybar"
33,0,1,"sport","Math","Right",1,1,0,1,"Candybar"
34,0,6,"school","Language","Right",1,0,1,0,"Candybar"
35,1,6,"sport","Language","Right",1,1,0,1,"Candybar"
36,0,1,"sport","Language","Right",1,0,0,0,"Candybar"
37,0,1,"sport","Math","Left",1,1,0,0,"Candybar"
38,1,3,"sport","Math","Left",1,0,0,0,"Candybar"
39,1,3,"school","Math","Right",1,1,0,0,"Fruit"
40,0,3,"school","Language","Left",1,0,0,1,"Fruit"
41,1,4,"school","Language","Right",1,0,0,0,"Fruit"
42,0,1,"school","Language","Right",0,1,0,1,"Fruit"
43,1,5,"sport","Math","Right",0,1,0,0,"Fruit"
44,1,3,"school","Math","Right",1,0,0,0,"Fruit"
45,1,3,"school","","Right",1,0,0,1,"Fruit"
46,0,6,"school","Language","Right",1,1,0,1,"Fruit"
